enb_id,cost,alloc,rsrq,hand_count
10,1,0,-61.6189,0
11,1,0,-58.2111,0
12,1,0,-59.826,0
13,1,0,-67.3457,0
14,1,0,-49.2805,0
15,1,0,-61.393,0
16,1,0,-66.641,0
17,1,0,-25.0595,0
18,1,0,-50.8058,0
19,1,0,-90.4028,0
20,1,1,-8.70468,0
21,1,0,-60.5219,0
22,1,0,-56.6826,0
23,1,0,-45.9533,0
24,1,0,-52.8418,0
25,1,0,-33.1769,0
0,1,0,-40.0085,0
1,1,0,-18.8008,0
2,1,0,-43.7534,0
3,1,0,-59.4518,0
4,1,0,-37.1637,0
5,1,0,-33.1393,0
6,1,0,-61.934,0
7,1,0,-47.6748,0
8,1,0,-23.0917,0
9,1,0,-61.5349,0
10,1,0,-61.1789,0
11,1,0,-57.6809,0
12,1,0,-59.3866,0
13,1,0,-66.8842,0
14,1,0,-48.7417,0
15,1,0,-60.8245,0
16,1,0,-66.1026,0
17,1,0,-24.6324,0
18,1,0,-50.5019,0
19,1,0,-89.8465,0
20,1,1,-8.42819,0
21,1,0,-60.0042,0
22,1,0,-56.1592,0
23,1,0,-45.4959,0
24,1,0,-52.424,0
25,1,0,-32.6978,0
0,1,0,-39.6784,0
1,1,0,-18.3449,0
2,1,0,-43.2554,0
3,1,0,-58.882,0
4,1,0,-36.6988,0
5,1,0,-32.6245,0
6,1,0,-61.4865,0
7,1,0,-47.1308,0
8,1,0,-22.4927,0
9,1,0,-61.0008,0
10,1,0,-60.7162,0
11,1,0,-57.1205,0
12,1,0,-58.9232,0
13,1,0,-66.3971,0
14,1,0,-48.1722,0
15,1,0,-60.2236,0
16,1,0,-65.5335,0
17,1,0,-24.1866,0
18,1,0,-50.1845,0
19,1,0,-89.2587,0
20,1,1,-8.18411,0
21,1,0,-59.4581,0
22,1,0,-55.6059,0
23,1,0,-45.0144,0
24,1,0,-51.9835,0
25,1,0,-32.1921,0
0,1,0,-39.3617,0
1,1,0,-17.9088,0
2,1,0,-42.7699,0
3,1,0,-58.3252,0
4,1,0,-36.2459,0
5,1,0,-32.1217,0
6,1,0,-61.0518,0
7,1,0,-46.5993,0
8,1,0,-21.9092,0
9,1,0,-60.4804,0
10,1,0,-60.2669,0
11,1,0,-56.5733,0
12,1,0,-58.4718,0
13,1,0,-65.9218,0
14,1,0,-47.6162,0
15,1,0,-59.6366,0
16,1,0,-64.9775,0
17,1,0,-23.7574,0
18,1,0,-49.878,0
19,1,0,-88.6845,0
20,1,1,-8.00043,0
21,1,0,-58.9261,0
22,1,0,-55.0654,0
23,1,0,-44.5463,0
24,1,0,-51.5546,0
25,1,0,-31.6992,0
0,1,0,-39.0572,0
1,1,0,-17.4919,0
2,1,0,-42.2959,0
3,1,0,-57.7805,0
4,1,0,-35.804,0
5,1,0,-31.63,0
6,1,0,-60.629,0
7,1,0,-46.0794,0
8,1,0,-21.34,0
9,1,0,-59.9727,0
10,1,0,-59.8303,0
11,1,0,-56.0383,0
12,1,0,-58.0317,0
13,1,0,-65.4571,0
14,1,0,-47.0724,0
15,1,0,-59.0625,0
16,1,0,-64.4337,0
17,1,0,-23.3442,0
18,1,0,-49.5814,0
19,1,0,-88.1228,0
20,1,1,-7.87958,0
21,1,0,-58.4074,0
22,1,0,-54.5366,0
23,1,0,-44.0908,0
24,1,0,-51.1366,0
25,1,0,-31.2181,0
0,1,0,-38.762,0
1,1,0,-17.0906,0
2,1,0,-41.829,0
3,1,0,-57.243,0
4,1,0,-35.3696,0
5,1,0,-31.145,0
6,1,0,-60.2146,0
7,1,0,-45.5665,0
8,1,0,-20.7806,0
9,1,0,-59.4731,0
10,1,0,-59.4027,0
11,1,0,-55.511,0
12,1,0,-57.5991,0
13,1,0,-64.9991,0
14,1,0,-46.5363,0
15,1,0,-58.4964,0
16,1,0,-63.8974,0
17,1,0,-22.9436,0
18,1,0,-49.2918,0
19,1,0,-87.5688,0
20,1,1,-7.82186,0
21,1,0,-57.8976,0
22,1,0,-54.0151,0
23,1,0,-43.6442,0
24,1,0,-50.7259,0
25,1,0,-30.7449,0
0,1,0,-38.4742,0
1,1,0,-16.7059,0
2,1,0,-41.3734,0
3,1,0,-56.7202,0
4,1,0,-34.9516,0
5,1,0,-30.6727,0
6,1,0,-59.8194,0
7,1,0,-45.0691,0
8,1,0,-20.2417,0
9,1,0,-58.9848,0
10,1,0,-58.9955,0
11,1,0,-55.0007,0
12,1,0,-57.184,0
13,1,0,-64.5517,0
14,1,0,-46.0173,0
15,1,0,-57.948,0
16,1,0,-63.3776,0
17,1,0,-22.5666,0
18,1,0,-49.008,0
19,1,0,-87.0286,0
20,1,1,-7.81975,0
21,1,0,-57.408,0
22,1,0,-53.5091,0
23,1,0,-43.2169,0
24,1,0,-50.3321,0
25,1,0,-30.2888,0
0,1,0,-38.1993,0
1,1,0,-16.3387,0
2,1,0,-40.9206,0
3,1,0,-56.1953,0
4,1,0,-34.5286,0
5,1,0,-30.2,0
6,1,0,-59.4173,0
7,1,0,-44.5679,0
8,1,0,-19.6983,0
9,1,0,-58.5015,0
10,1,0,-58.5812,0
11,1,0,-54.4854,0
12,1,0,-56.7627,0
13,1,0,-64.1064,0
14,1,0,-45.4936,0
15,1,0,-57.3948,0
16,1,0,-62.8534,0
17,1,0,-22.1874,0
18,1,0,-48.7341,0
19,1,0,-86.4884,0
20,1,1,-7.8889,0
21,1,0,-56.9115,0
22,1,0,-52.9994,0
23,1,0,-42.7836,0
24,1,0,-49.9324,0
25,1,0,-29.8279,0
0,1,0,-37.9189,0
1,1,0,-15.9692,0
2,1,0,-40.4477,0
3,1,0,-55.6451,0
4,1,0,-34.0859,0
5,1,0,-29.7049,0
6,1,0,-58.997,0
7,1,0,-44.0423,0
8,1,0,-19.1305,0
9,1,0,-57.9975,0
10,1,0,-58.1484,0
11,1,0,-53.9451,0
12,1,0,-56.3215,0
13,1,0,-63.6409,0
14,1,0,-44.9444,0
15,1,0,-56.8146,0
16,1,0,-62.3036,0
17,1,0,-21.7967,0
18,1,0,-48.4521,0
19,1,0,-85.9227,0
20,1,1,-8.02557,0
21,1,0,-56.3917,0
22,1,0,-52.4648,0
23,1,0,-42.3309,0
24,1,0,-49.514,0
25,1,0,-29.3454,0
0,1,0,-37.6399,0
1,1,0,-15.6132,0
2,1,0,-39.984,0
3,1,0,-55.1101,0
4,1,0,-33.6636,0
5,1,0,-29.222,0
6,1,0,-58.6022,0
7,1,0,-43.5339,0
8,1,0,-18.5882,0
9,1,0,-57.5013,0
10,1,0,-57.7427,0
11,1,0,-53.4249,0
12,1,0,-55.9027,0
13,1,0,-63.184,0
14,1,0,-44.415,0
15,1,0,-56.2547,0
16,1,0,-61.7727,0
17,1,0,-21.4372,0
18,1,0,-48.1704,0
19,1,0,-85.3699,0
20,1,1,-8.20055,0
21,1,0,-55.8977,0
22,1,0,-51.9478,0
23,1,0,-41.9033,0
