ue_id,ue_x,ue_y,alloc_enb,rsrq
0,528.91,683.64,25,-11.6529
0,531.98,689.81,25,-11.4747
0,535.03,696.79,25,-11.2725
0,534.43,697.73,25,-11.2325
0,536.74,692.07,25,-11.4564
0,540.44,692.46,25,-11.4918
0,549.67,696.86,25,-11.4747
0,561.27,702.41,5,-12.8209
0,574.49,706.95,5,-12.3485
0,587.85,711.18,5,-11.8738
0,601.35,715.4,5,-11.3971
0,613.22,722.44,5,-10.9884
0,626.36,726.54,5,-10.5341
0,639.58,730.65,5,-10.082
0,652.85,734.78,5,-9.63434
0,666.31,738.98,5,-9.18809
0,679.74,743.28,5,-8.75341
0,693.14,746.16,5,-8.31805
0,706.7,751.67,5,-7.91908
0,719.68,756.94,5,-7.56168
0,733.3,762.47,5,-7.21962
0,744.5,767.02,5,-6.97016
0,751.92,770.03,5,-6.82381
0,755.18,771.3,5,-6.76368
0,755.37,771.38,5,-6.76042
0,755.48,771.42,5,-6.75839
0,755.49,771.42,5,-6.75812
0,755.49,771.42,5,-6.75812
0,755.49,771.42,5,-6.75812
0,755.49,771.42,5,-6.75812
0,755.49,771.42,5,-6.75812
0,755.49,771.42,5,-6.75812
0,755.49,771.42,5,-6.75812
0,755.49,771.42,5,-6.75812
0,755.49,771.42,5,-6.75812
0,755.49,771.42,5,-6.75812
0,756.66,768.44,5,-6.65744
0,756.66,768.44,5,-6.65744
0,756.66,768.44,5,-6.65744
0,756.66,768.44,5,-6.65744
0,756.66,768.44,5,-6.65744
0,756.66,768.44,5,-6.65744
0,757.82,765.46,5,-6.5579
0,757.82,765.46,5,-6.5579
0,760.25,766.38,5,-6.51236
0,763.23,770.86,5,-6.54081
0,768.57,776.18,5,-6.54568
0,777.28,778.47,5,-6.41395
0,788.61,780.54,5,-6.2567
0,801.55,782.98,5,-6.14096
0,819.56,785.35,5,-6.06654
0,832.17,779.79,5,-5.84459
0,845.06,774.11,5,-5.69986
0,854.8,769.81,5,-5.65457
0,861.26,766.96,5,-5.65719
0,863.6,765.93,5,-5.66467
0,863.81,765.84,5,-5.66558
0,863.83,765.83,5,-5.66563
0,863.84,765.82,5,-5.66549
0,863.84,765.82,5,-5.66549
0,863.84,765.82,5,-5.66549
0,863.84,765.82,5,-5.66549
0,863.84,765.82,5,-5.66549
0,863.84,765.82,5,-5.66549
0,863.84,765.82,5,-5.66549
0,863.84,765.82,5,-5.66549
0,863.84,765.82,5,-5.66549
0,863.84,765.82,5,-5.66549
0,863.84,765.82,5,-5.66549
0,863.84,765.82,5,-5.66549
0,863.84,765.82,5,-5.66549
0,863.84,765.82,5,-5.66549
0,863.84,765.82,5,-5.66549
0,863.84,765.82,5,-5.66549
0,863.84,765.82,5,-5.66549
0,863.84,765.82,5,-5.66549
0,863.84,765.82,5,-5.66549
0,863.84,765.82,5,-5.66549
0,863.84,765.82,5,-5.66549
0,863.84,765.82,5,-5.66549
0,863.84,765.82,5,-5.66549
0,863.84,765.82,5,-5.66549
0,863.84,765.82,5,-5.66549
0,863.84,765.82,5,-5.66549
0,863.84,765.82,5,-5.66549
0,863.84,765.82,5,-5.66549
0,863.84,765.82,5,-5.66549
0,863.84,765.82,5,-5.66549
0,863.84,765.82,5,-5.66549
0,865.91,764.91,5,-5.67528
0,869.8,763.17,5,-5.69983
0,875.57,760.59,5,-5.75281
0,883.34,757.12,5,-5.85339
0,893.48,752.6,5,-6.02932
0,905.94,747.15,5,-6.30395
0,918.79,741.56,5,-6.63712
0,931.14,736.18,5,-6.99218
0,943.8,730.79,5,-7.38332
0,956.7,725.38,5,-7.80208
0,969.57,719.99,5,-8.23451
0,980.08,715.59,5,-8.59601
0,987.9,712.31,2,-10.0391
0,991.58,710.77,2,-9.89459
0,991.8,710.68,2,-9.88597
