enb_id,score,alloc,rsrq,hand_ctn
13,0.391954,0,-24.8138,5
14,0.411961,0,-22.6053,5
15,0.297312,0,-24.4899,5
16,0.122217,0,-27.3785,5
17,-0.787761,0,-42.3932,5
18,-0.385274,0,-35.7521,5
19,-0.264876,0,-38.7266,5
20,-1.12568,0,-47.9688,5
21,-0.736616,0,-41.5493,5
22,0.590469,0,-19.7658,5
23,-0.551971,0,-38.5026,5
24,-0.503641,0,-37.7052,5
25,0.0443017,0,-28.6641,5
0,-0.449627,0,-36.6733,5
1,-0.729958,0,-41.2988,5
2,0.956987,0,-13.8824,5
3,1.02177,1,-13.5382,5
4,0.060035,0,-28.2639,5
5,0.681609,0,-18.0626,5
6,-1.33958,0,-51.3576,5
7,0.726313,0,-17.4122,5
8,-0.730421,0,-41.3064,5
9,0.444503,0,-22.3923,5
10,-1.41857,0,-52.6608,5
11,0.176627,0,-26.3401,5
12,-0.754341,0,-41.7011,5
13,0.40848,0,-24.3972,5
14,0.385476,0,-22.8974,5
15,0.284079,0,-24.5672,5
16,0.119844,0,-27.277,5
17,-0.825407,0,-42.8737,5
18,-0.396016,0,-35.7887,5
19,-0.241813,0,-38.2134,5
20,-1.16202,0,-48.4277,5
21,-0.760291,0,-41.7993,5
22,0.580015,0,-19.7824,5
23,-0.581618,0,-38.8512,5
24,-0.523768,0,-37.8966,5
25,0.0104362,0,-29.0823,5
0,-0.473134,0,-36.9204,5
1,-0.76973,0,-41.8142,5
2,0.931668,0,-14.1097,5
3,1.02298,1,-13.312,5
4,0.0271149,0,-28.6663,5
5,0.641894,0,-18.5593,5
6,-1.3668,0,-51.6658,5
7,0.697551,0,-17.7191,5
8,-0.775701,0,-41.9127,5
9,0.447547,0,-22.1859,5
10,-1.44895,0,-53.0214,5
11,0.158344,0,-26.501,5
12,-0.775735,0,-41.9133,5
13,0.429076,0,-23.9133,5
14,0.354366,0,-23.2673,5
15,0.267043,0,-24.7075,5
16,0.115439,0,-27.2089,5
17,-0.867471,0,-43.4269,5
18,-0.405545,0,-35.8052,5
19,-0.214836,0,-37.6357,5
20,-1.20154,0,-48.9391,5
21,-0.788497,0,-42.1239,5
22,0.566333,0,-19.8523,5
23,-0.615877,0,-39.2756,5
24,-0.547542,0,-38.1481,5
25,-0.0277693,0,-29.5719,5
0,-0.499302,0,-37.2115,5
1,-0.814493,0,-42.4122,5
2,0.902989,0,-14.3948,5
3,1.024,1,-13.0884,5
4,-0.0101255,0,-29.1401,5
5,0.59754,0,-19.1359,5
6,-1.39765,0,-52.0343,5
7,0.664706,0,-18.0957,5
8,-0.826872,0,-42.6164,5
9,0.451559,0,-21.9627,5
10,-1.48348,0,-53.4504,5
11,0.137239,0,-26.7086,5
12,-0.799931,0,-42.1719,5
13,0.454395,0,-23.3515,5
14,0.318842,0,-23.7122,5
15,0.247115,0,-24.8957,5
16,0.110377,0,-27.1518,5
17,-0.914981,0,-44.0702,5
18,-0.415529,0,-35.8293,5
19,-0.182288,0,-36.9666,5
20,-1.24599,0,-49.532,5
